"Section/Rule","Context/Area","Question","Responsible Party/Subject","T-Level"
"Table 7.4 Rule 3","Standard (Not Prorated) DEROS","Will MPF compute DEROS based on tour length and date entered EAD?","MPF","T-0"
"Table 7.4 Rule 6","Standard (Not Prorated) DEROS","Will assignment OPR establish DEROS based on course length?","Assignment OPR","T-0"
"Table 7.4 Rule 9","Standard (Not Prorated) DEROS","Will member serve remaining ADSC plus 1 day?","Member","T-0"
"Table 7.4 Rule 11","Prorated DEROS (When member has served a portion of tour)","Will member serve remainder of original tour?","Member","T-0"
"Table 7.4 Rule 13","Prorated DEROS (When member has served a portion of tour)","Will member serve prescribed tour length at new location?","Member","T-0"
"Table 7.4 Rule 14","Prorated DEROS (When member has served a portion of tour)","Will MPF establish DEROS based on tour length computation?","MPF","T-0"
"Table 7.5 Rule 2","Award or Adjustment of ODSD and Short Tour Return Date Based on PCS","Will MPF award new ODSD equal to DEROS?","MPF","T-0"
"Table 7.5 Rule 3","Award or Adjustment of ODSD and Short Tour Return Date Based on PCS","Will MPF award new short tour return date equal to DEROS?","MPF","T-0"
"Table 7.5 Rule 4","Award or Adjustment of ODSD and Short Tour Return Date Based on PCS","Will MPF award new ODSD equal to date returned to CONUS?","MPF","T-0"
"Table 7.5 Rule 5","Award or Adjustment of ODSD and Short Tour Return Date Based on PCS","Will MPF award new short tour return date equal to date returned to CONUS?","MPF","T-0"
"Table 7.5 Note 1","Award or Adjustment of ODSD and Short Tour Return Date Based on PCS","Will member receive short tour credit?","Member","T-0"
"Table 7.5 Note 2","Award or Adjustment of ODSD and Short Tour Return Date Based on PCS","Will ODSD be adjusted day-for-day?","ODSD","T-0"
"Table 7.6 Rule 2","Award or Adjustment of ODSD and Short Tour Return Date Based on TDY","Will TDY of 181+ consecutive days receive short tour credit?","TDY","T-0"
"Table 7.6 Rule 5","Award or Adjustment of ODSD and Short Tour Return Date Based on TDY","Will TDY of 181+ consecutive days receive short tour credit?","TDY","T-0"
"Table 7.6 Rule 6","Award or Adjustment of ODSD and Short Tour Return Date Based on TDY","Will TDY of 181+ consecutive days receive short tour credit?","TDY","T-0"
"Table 7.6 Rule 7","Award or Adjustment of ODSD and Short Tour Return Date Based on TDY","Will AFPC/DP3AM or USSF/ETMO determine short tour credit?","AFPC/DP3AM or USSF/ETMO","T-0"
"Table 7.7 Rule 1","Voluntary Extension of Overseas Tour","Will assignment OPR approve or disapprove extension requests?","Assignment OPR","T-0"
"Table 7.8 Rule 1","Curtailment of Overseas Tours","Will assignment OPR approve curtailment for systematic rotation (more than 60 days)?","Assignment OPR","T-0"
"Table 7.8 Rule 2","Curtailment of Overseas Tours","Will AFPC/CC approve curtailment for systematic rotation (less than 60 days)?","AFPC/CC","T-0"
"Table 7.8 Rule 3","Curtailment of Overseas Tours","Will assignment OPR approve curtailment for school/SDA/separation (more than 60 days)?","Assignment OPR","T-0"
"Table 7.8 Rule 4","Curtailment of Overseas Tours","Will AFPC/CC approve curtailment for school/SDA/separation (less than 60 days)?","AFPC/CC","T-0"
"Table 7.8 Rule 5","Curtailment of Overseas Tours","Will assignment OPR approve curtailment for best interests of AF (dorm/housing renovation) (more than 60 days)?","Assignment OPR","T-0"
