section_number,section_title,content
1.1,,Overview..............................................................................................................  8
1.2,,National Guard Bureau. ........................................................................................  8
1.3,,The Adjutant General (TAG) or Commanding General (CG). ...............................  8
1.4,,Human Resource Officer (HRO) and AGR Manager. ............................................  9
1.5,,Wing/GSU Commander (or equivalent). ...............................................................  10
1.6,,Unit Commander (or equivalent). .........................................................................  10
1.7,,Force Support Squadron (FSS). ............................................................................  10
1.8,,Human Resource Office Remote Designee. ..........................................................  11
1.9,,Wing Comptroller Squadron/Flight. ......................................................................  11
1.10,,Medical Group (MDG). ........................................................................................  12
1.11,,AGR Airmen. .......................................................................................................  12
1.12,,Total Force Service Centers (TFSCs). ...................................................................  12   ANGI36-101  21 APRIL 2022  3  Chapter 2—GENERAL POLICIES AND PROCEDURES    14
2.1,,Waivers. ...............................................................................................................  14
2.2,,AGR Program. .....................................................................................................  14
2.3,,Equal Opportunity. ...............................................................................................  15
2.4,,Standards of Conduct/Political Activity. ...............................................................  15
2.5,,Military Jurisdiction/Discipline.............................................................................  15
2.6,,Off-Duty Employment. .........................................................................................  15
2.7,,Substance Abuse. .................................................................................................  15
2.8,,Uniformed Services Employment and Reemployment Rights Act (USERRA)  Restoration Rights. ...............................................................................................  16  Chapter 3—AGR BENEFITS AND ENTITLEMENTS    18
3.1,,Benefits and Entitlements for AGR Personnel. ......................................................  18
3.2,,Aviation Bonus (AVB) Program. ..........................................................................  18
3.3,,Clothing Allowance. .............................................................................................  18
3.4,,Education Services. ..............................................................................................  18
3.5,,Enlisted Bonuses and Special Duty Assignment Pay (SDAP). ...............................  18
3.6,,Military Leave Program. .......................................................................................  18
3.7,,"Permanent Change of Station (PCS) Allowances. .................................................  19  Chapter 4—ANNOUNCEMENT, APPLICATION AND SELECTION    20"
4.1,,Announcement Procedures. ..................................................................................  20
4.2,,Application Process. .............................................................................................  21
4.3,,Assignment Process. .............................................................................................  21  Chapter 5—AGR ACCESSION REQUIREMENTS    22
5.1,,Accession Standards. ............................................................................................  22
5.2,,Air Force Specialty Code (AFSC) Requirements. .................................................  22
5.3,,Grade. ..................................................................................................................  23
5.4,,Commissioning of Enlisted Member. ....................................................................  23
5.5,,Air Force Fitness Standards. .................................................................................  23
5.6,,Security Clearance. ...............................................................................................  23
5.7,,Separated for Cause. .............................................................................................  23
5.8,,Retainability for an AGR Assignment. ..................................................................  24
5.9,,Sanctuary. ............................................................................................................  24
5.10,,Inability to attain 20 years TAFMS. ......................................................................  24   4  ANGI36-101  21 APRIL 2022
5.11,,"Medical Requirements. .........................................................................................  24  Chapter 6—ASSIGNMENTS, REASSIGNMENTS, AND MANAGEMENT DIRECTED  REASSIGNMENTS    25"
6.1,,Orders—AGR Tours Lengths and Mandatory Remarks. .......................................  25
6.2,,Probationary Period. .............................................................................................  25
6.3,,Tour Expiration. ...................................................................................................  26
6.4,,Extension of Current Tour and Subsequent Tours. ................................................  26
6.5,,Permanent Change of Station (PCS). ....................................................................  26
6.6,,Assignment to Position/Unit. ................................................................................  26
6.7,,Voluntary Reassignment. ......................................................................................  27
6.8,,Management Directed Reassignment (MDR). .......................................................  28
6.9,,Key Staff Assignments. ........................................................................................  28
6.10,,Details. .................................................................................................................  28
6.11,,Military Personnel Data System (MilPDS) and Defense Joint Military Pay  System (DJMS). ...................................................................................................  28  Chapter 7—FORCE MANAGEMENT AND UTILIZATION    29
7.1,,Promotions. ..........................................................................................................  29
7.2,,Reenlistments/Extensions. ....................................................................................  30
7.3,,Air Force Fitness Program. ...................................................................................  30
7.4,,Performance Evaluations. .....................................................................................  30
7.5,,Training and Developmental Education (DE). .......................................................  30
7.6,,"Duties and Work Schedules of Permanent, Occasional and AGR Deployment  Backfill Tour ........................................................................................................  31"
7.7,,Supervision of Personnel. .....................................................................................  31
7.8,,AGR Members Performing Title 10 Duty. ............................................................  31
7.9,,"AGRs Traveling Outside the United States, Its Territories, and Possessions on  Official Duty. .......................................................................................................  32"
7.10,,"Emergency Domestic and “Immediate Response” Situations. ................................  34  Chapter 8—TOUR CURTAILMENT, SEPARATION, AND RETIREMENT    36"
8.1,,General.................................................................................................................  36
8.2,,Sanctuary. ............................................................................................................  36
8.3,,Separation at Expiration of Tour. ..........................................................................  36
8.4,,Voluntary Tour Curtailment..................................................................................  37   ANGI36-101  21 APRIL 2022  5
8.5,,Involuntary Tour Curtailment. ..............................................................................  37
8.6,,Involuntary Release. .............................................................................................  38
8.7,,Involuntary Discharge. .........................................................................................  39
8.8,,Mandatory Separation...........................................................................................  39
8.9,,Regular Retirement...............................................................................................  40
8.10,,Non-regular Retirement. .......................................................................................  40
8.11,,Documentation of Service.....................................................................................  40  Chapter 9—AGR CONTINUATION BOARD    42
9.1,,AGR Continuation Board (ACB). .........................................................................  42
9.2,,Purpose. ...............................................................................................................  42
9.3,,Responsibilities. ...................................................................................................  42
9.4,,ACB Composition. ...............................................................................................  43
9.5,,ACB Schedule. .....................................................................................................  43
9.6,,ACB Pre-Board Process. ......................................................................................  44
9.7,,Conducting the ACB. ...........................................................................................  44
9.8,,ACB Post-Board Process. .....................................................................................  45
9.9,,Entry into the AGR Career Program. ....................................................................  46
9.10,,Continuation Beyond 20 Years of Active Federal Military Service. .......................  46
9.11,,Non-continuation on an AGR Tour. ......................................................................  46
9.12,,ACB Reconsideration Process. .............................................................................  46
9.13,,Out-of-Cycle ACB. ..............................................................................................  47  Table 9.1.  ACB Profile. ........................................................................................................  47  Chapter 10—PRIORITY PLACEMENT AND REDUCTION IN FORCE    48
