section_number,level,parent_number,ancestry,section_title,content
2.1,2,2,['2'],Roles and Responsibilities. ......................................................................................   16,
2.2,2,2,['2'],Air Force (RegAF) and Space Force (USSF). .........................................................   16,
2.3,2,2,['2'],Air Force Reserve (AFR). ........................................................................................   17,
2.4,2,2,['2'],National Guard Bureau (NGB). ...............................................................................   18,
2.5,2,2,['2'],Installation/Wing/Delta/Group/Unit Commanders. .................................................   19,
2.6,2,2,['2'],The Force Support Squadron (FSS)/Military Personnel Flight (MPF). ...................   19,
2.7,2,2,['2'],Other Assignment Authority. ...................................................................................   20   DAFI36-2110  9 AUGUST 2024  3  Table 2.1.  (RegAF and USSF only) Designated Assignment Authority and Office of  Primary Responsibility (OPR) for Assignment Actions. .........................................   21  Chapter 3—GENERAL GUIDANCE AND PROCEDURES    23,
2.1,2,2,['2'],Roles and Responsibilities.  This chapter describes the overall roles and responsibilities of  assignment actions for the DAF Total Force.  Additional roles and responsibilities unique to the  Military Service or component and the assignment programs may be included and listed within the  respective sections throughout this publication.,
2.2,2,2,['2'],Air Force (RegAF) and Space Force (USSF).,
2.2.1,3,2.2,"['2', '2.2']","Assistant Secretary of the Air Force for Manpower and Reserve Affairs (SAF/MR) will  serve as an agent of the Secretary and provide guidance, direction and oversight for all matters  pertaining to the formulation, review and execution of plans, policies, and budgets addressing  assignments.",
2.2.2,3,2.2,"['2', '2.2']","Deputy Chief of Staff for Manpower, Personnel and Services (AF/A1) and the Deputy  Chief of Space Operations for Human Capital (SF/S1), will serve as the respective functional  authority and is responsible for policy oversight and advisory services related to the Air Force  and Space Force assignment program.",
2.2.3,3,2.2,"['2', '2.2']","Chief of Military Force Policy Division (AF/A1PP) and the Chief of Force Management  (SF/S1PP), will provide respective functional management of the Air Force and Space Force  assignment program and:",
2.2.3.1,4,2.2.3,"['2', '2.2', '2.2.3']","Develop, coordinate, and enforce assignment policy.",
2.2.3.2,4,2.2.3,"['2', '2.2', '2.2.3']",Issue departmental level program guidance to implement assignment policy.,
2.2.4,3,2.2,"['2', '2.2']","Headquarters Air Force Personnel Center, Director, Personnel Programs (AFPC/DP3),  Director, Personnel Operations (AFPC/DPM), and the Enterprise Talent Management  Organization (ETMO) will manage the respective Air Force and Space Force assignment  programs by establishing eligibility criteria, and processing requirements.  This includes  establishing qualitative standards and guidelines for program implementation and evaluating  the quality of assignment decisions.  In addition, AFPC/DP3 or ETMO for USSF only will:",
2.2.4.1,4,2.2.4,"['2', '2.2', '2.2.4']",Interpret and enforce DAF policy.,
2.2.4.2,4,2.2.4,"['2', '2.2', '2.2.4']",Provide guidance and implementation instructions to the Military Personnel Flight  (MPF).,
2.2.4.3,4,2.2.4,"['2', '2.2', '2.2.4']",Provide operational oversight for standardization and evaluation of the Air Force  and Space Force assignment programs.,
2.2.4.4,4,2.2.4,"['2', '2.2', '2.2.4']",Review/approve/disapprove exception to policy and waivers for assignment  requests.  Waiver authority may be further delegated to a colonel (O-6) officer or GS-15 in  AFPC/DPM.,
2.2.4.5,4,2.2.4,"['2', '2.2', '2.2.4']","Act as required on behalf of the AFPC Commander (AFPC/CC), when delegated.",
2.2.4.6,4,2.2.4,"['2', '2.2', '2.2.4']",Serve as Designated Assignment Authority and OPR for Assignment Actions (see  Table 2.1.).   DAFI36-2110  9 AUGUST 2024  17,
2.3,2,2,['2'],Air Force Reserve (AFR).,
2.3.1,3,2.3,"['2', '2.3']","Office of Air Force Reserve, Directorate of Personnel (AF/REP) will serve as the  functional authority and is responsible for policy oversight and advisory services related to the  AFR assignment program and:",
