Paragraph Number,Matches,Section,Text
12,3,,"This instruction implements Department of Defense Instruction (DoDI) 1205.18, Full-Time  Support (FTS) to the Reserve Components. It applies to Air National Guard (ANG) Airmen serving  in Active Guard and Reserve (AGR) status under Title 32 United States Code (USC) Section  502(f), Required Drills and Field Exercises. The primary purpose of this instruction is to identify  responsibilities for the Active Guard and Reserve (AGR) program and prescribe policy and  procedures for administering and managing AGR personnel including eligibility criteria, selection  and accession processes, utilization, retention, separation and retirement processes, resources,  controlled grades, and waiver processes. Chapter 13, paragraphs 13.1, 13.2, and 13.3 apply to  Airmen serving in AGR status under 10 USC § 12310 (ANG Statutory Tour) pursuant to 12301(d)  and prescribes policy for respective resources, accountability, funding, and controlled grades. Air  National Guard Instruction (ANGI) 36-6, ANG Statutory Tour Program Policies and Procedures,  is the primary source of information pertaining to the ANG Statutory Tour program. Any  supplements to this instruction will be forwarded to NGB/A1P for review and approval. Refer  recommended changes and questions about this publication to NGB/A1P using AF Form 847,  Recommendation for Change of Publication; the AF Form 847 will be routed from the base level  to the Military Personnel Management Officer (MPMO) at Joint Force Headquarters (JFHQ) who  will, in turn, submit the form to NGB/A1PP. NGB/A1PP is the waiver authority for all non-tiered  requirements contained in this publication not identified as (T-0). All requests for waivers must be  annotated on an AF Form 679 and sent to NGB/A1PP for review. Ensure all records created as a  result of processes prescribed in this publication are maintained in accordance with Air Force  Instruction (AFI) 33-322, Records Management and Information Governance Program, and"
60,1,,"General (CG) personnel and manpower policy for developing and managing a career program for  AGR personnel within their respective states/territories/district. The AGR program shall be  administered as a career program which may lead to a regular retirement after attaining the required  years of total active federal military service (TAFMS) in accordance with Department of Defense  Instruction (DoDI) 1205.18, Full-Time Support (FTS) to the Reserve Components. For the  purposes of this instruction, a career management program is defined as a program that may afford  individuals the opportunity to achieve upward mobility consistent with manpower constraints and  the needs of the ANG. Note: For the purposes of this instruction, references to state, territory or  district will be referred to by the term “state” herein."
121,1,,designated representative are enforced. Ensures order tour length and additional mandatory  remarks are in included within each order. The HRO will provide a copy of any AGR orders  and amendments to the Force Support Squadron and ensures all medical and fitness  requirements are met for both occasional and permanent AGR tours prior to publishing AGR  orders.
149,1,,"1.7.8. Monitors personnel being processed through Air Force medical channels for possible  Medical or Physical Evaluation Boards (MEB/PEB), line-of-duty determinations (LODs), and  possible placement on TDRL. All MEBs, LODs, and TDRL actions will be coordinated with  the MDG and HRO for review and action as necessary."
158,1,,will designate another section of the FSS to assume support responsibilities. 1.9. Wing Comptroller Squadron/Flight.
175,1,,"1.10.4. Monitors personnel being processed through Air Force medical channels for possible  MEB or PEB, LOD, and/or placement on TDRL. All MEB, PEB, LOD, and TDRL actions  will be coordinated with the FSS and HRO for review and any necessary action(s) required in  accordance with AFI 36-3212, Physical Evaluation for Retention, Retirement, and Separation,"
183,1,,"1.12.1. TFSC Joint Base San Antonio (JBSA)-Randolph, Texas will accomplish the official  DD Form 214 for AGR members as identified in paragraph 2.1.1. of AFI 36-3202."
185,1,,"1.12.2. TFSC Air Reserve Personnel Center, Buckley Air Force Base, Colorado (ARPC) will"
195,1,,"2.1.3. The AGR Program Manager in NGB/A1PP will only grant waivers when warranted,"
199,1,,"2.2.1.1. A probationary period shall not exceed six years (reference paragraph 6.2). With  the HRO’s concurrence, commanders may elect to extend an AGR member’s probationary  period in any increment up to six years. The HRO/AGR Manager will maintain a roster of  all probationary AGR members to ensure appropriate force management decisions are  communicated in required timeframes. Continuation beyond the initial or extended  probationary period or service in AGR status for more than six years constitutes retention  (career status) and shall require subsequent management under a career program.  Probationary tours must be a minimum of one year."
200,1,,"2.2.1.2. Career retention and advancement will be dependent on existing force  requirements and the needs of the unit, state, and ANG. Applicants for the AGR program  should be able to complete 20 years of total active federal military service (TAFMS) prior  to reaching mandatory separation. See Paragraph 5.10 for those Airmen unable to attain  20 years TAFMS."
204,1,,2.3. Equal Opportunity. The management of AGRs will be free of discrimination based upon
206,1,,2.3.1. The AGR program will support military equal opportunity and affirmative employment
216,1,,"2.5.2. All records of adverse administrative action (letters of counseling, admonishment, and  reprimand) will be maintained by the unit in accordance with AFI 36-2907, Adverse  Administrative Actions. When appropriate, notify the HRO when taking disciplinary action.  These documents must be destroyed when indicated in the memorandum, upon separation of  the Airman, or in accordance with governing instructions."
230,3,,"program or accept an ANG Title 10 Statutory Tour have restoration rights in accordance with  TPR 300, Technician Personnel Regulation. Individuals will not be restored to military  technician status solely to gain entitlement to a new period of restoration rights or to establish  a new high 3 years of income for federal civil service retirement computation. Exceptions to  this policy will not be considered. NGB/A1M will not allocate additional resources to  accommodate restoration to technician status."
232,3,,"AGR personnel who enter an ANG Title 10 Statutory Tour, assigned to the NGB UMD (e.g.,  10 USC § 10211, 10305, 12402, and 12310) have restoration rights, not to exceed five years,  to the state from which they entered their initial Statutory Tour. Individuals will not be restored  to AGR status solely to gain entitlement to a new period of restoration rights. Waivers to this  policy will not be considered. Each AGR Airman who enters an ANG Title 10 Statutory Tour  must be informed in writing and acknowledge such notice that the individual is entitled to  revert to the same military grade held prior to the Statutory Tour assignment. Personnel  promoted while on Statutory Tour may be placed into the Priority Placement Program (PPP)  as outlined in Chapter 10 if a full-time UMD position is not available to support their current  military grade. When the Airman in question is serving in a controlled grade, the state must  accommodate the Airman within his/her current controlled grade allocations. NGB/A1 will  neither allocate additional controlled grades to accommodate the Airmen returning to state  control nor allocate additional resources to accommodate restoration to AGR status."
