section_number,level,parent_number,ancestry,section_title,content
1.1,2,1,['1'],Overview. .................................................................................................................   14  Table 1.1.  Component-Specific Guidance and Procedures. ......................................................   14,
1.2,2,1,['1'],Assignment Authority. .............................................................................................   14  Chapter 2—ROLES AND RESPONSIBILITIES    16,
2.1,2,2,['2'],Roles and Responsibilities. ......................................................................................   16,
2.2,2,2,['2'],Air Force (RegAF) and Space Force (USSF). .........................................................   16,
2.3,2,2,['2'],Air Force Reserve (AFR). ........................................................................................   17,
2.4,2,2,['2'],National Guard Bureau (NGB). ...............................................................................   18,
2.5,2,2,['2'],Installation/Wing/Delta/Group/Unit Commanders. .................................................   19,
2.6,2,2,['2'],The Force Support Squadron (FSS)/Military Personnel Flight (MPF). ...................   19,
2.7,2,2,['2'],Other Assignment Authority. ...................................................................................   20   DAFI36-2110  9 AUGUST 2024  3  Table 2.1.  (RegAF and USSF only) Designated Assignment Authority and Office of  Primary Responsibility (OPR) for Assignment Actions. .........................................   21  Chapter 3—GENERAL GUIDANCE AND PROCEDURES    23,
3.1,2,3,['3'],General Information. ................................................................................................   23,
3.2,2,3,['3'],Equal Opportunity. ...................................................................................................   23,
3.3,2,3,['3'],General Volunteer Status and PCS Eligibility. ........................................................   23,
3.4,2,3,['3'],PCS/Permanent Change of Assignment (PCA). ......................................................   23,
3.5,2,3,['3'],Minimum Age for Assignment to a Hostile Fire/Imminent Danger Area. ..............   24,
3.6,2,3,['3'],Assignment Limitation Codes (ALC). .....................................................................   25,
3.7,2,3,['3'],Medical Deferment or Limitation. ...........................................................................   25,
3.8,2,3,['3'],Dependent Care. .......................................................................................................   26,
3.9,2,3,['3'],High Year of Tenure (Enlisted Only) (Does not apply to ANG ..............................   27,
3.10,2,3,['3'],Assignment of Enlisted Aircrew (RegAF and ARC only). ......................................   27,
3.11,2,3,['3'],Assignment of Rated Personnel. ..............................................................................   27,
3.12,2,3,['3'],Assignment of Chaplains (RegAF and ARC only). .................................................   27,
3.13,2,3,['3'],Assignment to Senior Master Sergeant and Chief Master Sergeant Positions  (ARC Only). .............................................................................................................   27,
3.14,2,3,['3'],Assignment of Family Members to Command or Supervisory Positions. ...............   28,
3.15,2,3,['3'],Assignment of Former Members of the Peace Corps. .............................................   29,
3.16,2,3,['3'],Assignment of Members Who Were Previously Designated as “Missing”  (Including Prisoners of War/Missing In Action). ....................................................   29,
3.17,2,3,['3'],(ARC only) Assignment of Members of the Retired Reserve. ................................   30,
3.18,2,3,['3'],Exceptional Family Member Program (EFMP). ......................................................   31,
3.19,2,3,['3'],Expedited Transfer. ..................................................................................................   40  Table 3.1.  Assignment Availability Codes. ..............................................................................   47  Table 3.2.  Assignment Limitation Codes..................................................................................   71,
3.20,2,3,['3'],Diverse Slates for Key Developmental Assignments and Non-Statutory Boards. ..   78,
3.21,2,3,['3'],Return to Service and Interim Member Transfer (RTS/IMT) Programs. ................   78  Chapter 4—TEMPORARY DUTY (TDY) ASSIGNMENT    79,
4.1,2,4,['4'],Purpose of TDY. ......................................................................................................   79,
4.2,2,4,['4'],Delegation of Temporary Duty (TDY) Assignment Authority. ..............................   79,
4.3,2,4,['4'],TDY Allowances and Orders. ..................................................................................   80,
4.4,2,4,['4'],When to Request PCS or Authorize TDY. ..............................................................   80   4  DAFI36-2110  9 AUGUST 2024,
4.5,2,4,['4'],Determining TDY or PCS to Attend a Course of Instruction. .................................   80,
4.6,2,4,['4'],TDY Restrictions. ....................................................................................................   80,
4.7,2,4,['4'],TDY Cost Chargeable to Military Personnel (MILPERS) PCS Account. ...............   84,
4.8,2,4,['4'],TDY Orders. ............................................................................................................   85,
4.9,2,4,['4'],TDY to HAF. ...........................................................................................................   85,
4.10,2,4,['4'],Country Clearance for Overseas TDY. ....................................................................   85,
4.11,2,4,['4'],Variation in Itinerary. ..............................................................................................   85,
4.12,2,4,['4'],Funding of TDY. ......................................................................................................   85,
4.13,2,4,['4'],TDY “Hold” for Members Enroute PCS. ................................................................   85,
4.14,2,4,['4'],"Manning Assistance TDY. .......................................................................................   86  Table 4.1.  (RegAF and USSF Only) TDY To Attend Courses of Instruction in Conjunction  With PCS. ................................................................................................................   88  Table 4.2.  Time-on-Station, PCS, and Date of Separation Minimums for Selecting Members  for TDY....................................................................................................................   91  Chapter 5—ASSIGNMENT AUTHORITY    94",
5.1,2,5,['5'],General Information. ................................................................................................   94,
5.2,2,5,['5'],Assignment Requests. ..............................................................................................   94,
5.3,2,5,['5'],Distribution of Personnel. ........................................................................................   95,
5.4,2,5,['5'],Waivers. ...................................................................................................................   96,
5.5,2,5,['5'],Exceptions. ...............................................................................................................   97,
5.6,2,5,['5'],"Permanent Change of Station (PCS) Budget Authority. ..........................................   100  Chapter 6—POLICIES, PROCEDURES, AND PROGRAMS    104",
6.1,2,6,['6'],Primary PCS Selection Factor. ................................................................................   104,
6.2,2,6,['6'],"Grade, AFSC/SFSC, and Skill Level Relationship for Assignments.......................   106",
6.3,2,6,['6'],Manpower Authorization Changes. .........................................................................   107,
6.4,2,6,['6'],Position Numbers Bypass Routine. ..........................................................................   107,
6.5,2,6,['6'],Time-on-Station Requirements. ...............................................................................   108,
6.6,2,6,['6'],Soliciting an Assignment. ........................................................................................   109,
6.7,2,6,['6'],Assignment Recommendations. ...............................................................................   109,
6.8,2,6,['6'],Volunteer Status and PCS Eligibility. ......................................................................   109,
6.9,2,6,['6'],Volunteers Replacing Non-Volunteers Selected for PCS. .......................................   110,
