Paragraph Number,Matches,Section Number,Section Title,Text
13,1,2,2 DAFI36-2110 9 AUGUST 2024,"supplemented at any level; all Major Command (MAJCOM) or Field Command (FLDCOM)-level  supplements must be approved by the Human Resource Management Strategic Board prior to  certification and approval. The authorities to waive wing, unit, or delta level requirements in this  publication are identified with a Tier (“T-0, T-1, T-2, T-3”) number following the compliance  statement. See Department of the Air Force Manual (DAFMAN) 90-161, Publishing Processes  and Procedures, Table A10.1, for a description of the authorities associated with the Tier numbers.  Submit requests for waivers through the chain of command to the appropriate Tier waiver approval  authority, or alternately, through the applicable MAJCOM or FLDCOM for staffing to  AFPC/DP3A for final decision on non-tiered compliance items. The use of the name or mark of  any specific manufacturer, commercial product, commodity, or service in this publication does not  imply endorsement by the DAF. This instruction has been reviewed by the Per Diem, Travel and  Transportation Allowance Committee in accordance with Department of Defense Instruction  (DoDI) 5154.31, Volume 5, Commercial Travel Management: the Per Diem, Travel and  Transportation Allowance Committee (PDTATAC), as PDTATAC Case RR19008. Any conflict  between this instruction and the Joint Travel Regulation (JTR) is resolved based on the JTR, not  this instruction. Compliance with the attachments is mandatory."
132,1,1.2,"1.2. Assignment Authority. The DoD allocates funds, delegates authority and directs policies  for temporary duty (TDY) assignment and permanent change of station (PCS) assignment of  RegAF, USSF, AFR, and ANG military personnel. The DAF will assign members with the  necessary skills to valid manpower requirements to meet Air Force or Space Force mission  objectives. PCS may also be ordered to ensure equitable treatment of members. This instruction  must be cited as the assignment authority only for operational (including rotational), training  (including formal education and professional military education), and force structure assignments.  (T-1) PCS assignment authority cannot be further delegated.","1.2. Assignment Authority. The DoD allocates funds, delegates authority and directs policies  for temporary duty (TDY) assignment and permanent change of station (PCS) assignment of  RegAF, USSF, AFR, and ANG military personnel. The DAF will assign members with the  necessary skills to valid manpower requirements to meet Air Force or Space Force mission  objectives. PCS may also be ordered to ensure equitable treatment of members. This instruction  must be cited as the assignment authority only for operational (including rotational), training  (including formal education and professional military education), and force structure assignments.  (T-1) PCS assignment authority cannot be further delegated."
195,1,2.5.3,2.5.3. (ANG Only) A viable personnel force management plan must be in place to meet the  best interest of the ANG. (T-3),2.5.3. (ANG Only) A viable personnel force management plan must be in place to meet the  best interest of the ANG. (T-3)
244,1,3.5,"3.5. Minimum Age for Assignment to a Hostile Fire/Imminent Danger Area. Members must  be at least 18 years of age to be assigned (PCS or TDY) to a hostile fire or imminent danger area  as stated in 22 USC § 2370c-1, Prohibition. (T-0) (See Table 3.2, line 20, for associated code.).  The DoD Financial Management Regulation (DoD FMR), DoD 7000.14, Vol. 7a, Military Pay","3.5. Minimum Age for Assignment to a Hostile Fire/Imminent Danger Area. Members must  be at least 18 years of age to be assigned (PCS or TDY) to a hostile fire or imminent danger area  as stated in 22 USC § 2370c-1, Prohibition. (T-0) (See Table 3.2, line 20, for associated code.).  The DoD Financial Management Regulation (DoD FMR), DoD 7000.14, Vol. 7a, Military Pay"
255,1,3.8,"3.8. Dependent Care. All members must ensure care of their dependents when separated due to  TDY or PCS. (T-0) Members who cannot or will not meet military commitments due to family  needs are considered for separation or, if eligible, may be given an opportunity to apply for  immediate retirement.","3.8. Dependent Care. All members must ensure care of their dependents when separated due to  TDY or PCS. (T-0) Members who cannot or will not meet military commitments due to family  needs are considered for separation or, if eligible, may be given an opportunity to apply for  immediate retirement."
261,1,3.8.2.2,"3.8.2.2. Members who qualify for and desire the six-month deferment must provide a  statement from adoption authorities, endorsed by the unit commander, confirming the date  the member initiated formal adoption proceedings and the date the child was officially  placed in the member’s home incident to the adoption application. (T-1) Commanders may  request assistance from the servicing legal office if any question exists on the adequacy of  the statement or eligibility of a member under this paragraph. Deferments are not approved  in advance of placement of a child in the member’s home as described above.","3.8.2.2. Members who qualify for and desire the six-month deferment must provide a  statement from adoption authorities, endorsed by the unit commander, confirming the date  the member initiated formal adoption proceedings and the date the child was officially  placed in the member’s home incident to the adoption application. (T-1) Commanders may  request assistance from the servicing legal office if any question exists on the adequacy of  the statement or eligibility of a member under this paragraph. Deferments are not approved  in advance of placement of a child in the member’s home as described above."
265,1,3.11,3.11. Assignment of Rated Personnel. All officers assigned to rated positions must hold the  aeronautical rating required for the position to which assigned in accordance with DAFMAN 11- 401. (T-3),3.11. Assignment of Rated Personnel. All officers assigned to rated positions must hold the  aeronautical rating required for the position to which assigned in accordance with DAFMAN 11- 401. (T-3)
266,1,3.12,"3.12. Assignment of Chaplains (RegAF and ARC only). Officers assigned as chaplains must  hold 52X AFSC, possess ecclesiastical endorsements listed in Department of Defense DoDI  1304.28, The Appointment and Service of Chaplains,” published 12 May 2021, and be accepted  by United States Air Force, Chief of Air Force Chaplains (AF/HC). (T-0) ANG-specific chaplain  assignments can be found in DAFMAN 36-2032.","3.12. Assignment of Chaplains (RegAF and ARC only). Officers assigned as chaplains must  hold 52X AFSC, possess ecclesiastical endorsements listed in Department of Defense DoDI  1304.28, The Appointment and Service of Chaplains,” published 12 May 2021, and be accepted  by United States Air Force, Chief of Air Force Chaplains (AF/HC). (T-0) ANG-specific chaplain  assignments can be found in DAFMAN 36-2032."
268,1,3.13.1,"3.13.1. (ANG Only) Prior to the assignment action, TAG or CG must approve the assignment  of a member to a SMSgt or CMSgt position who is two or more grades below that authorized.  (T-2)","3.13.1. (ANG Only) Prior to the assignment action, TAG or CG must approve the assignment  of a member to a SMSgt or CMSgt position who is two or more grades below that authorized.  (T-2)"
269,1,3.13.2,"3.13.2. (ARC Only) Members must meet all promotion eligibility requirements in DAFI 36- 2502, Enlisted Airman Promotion and Demotion Programs, Table 8.2, prior to placement into  a higher graded position.","3.13.2. (ARC Only) Members must meet all promotion eligibility requirements in DAFI 36- 2502, Enlisted Airman Promotion and Demotion Programs, Table 8.2, prior to placement into  a higher graded position."
